GmLine v3.0(Contour)
34	1.4
15401961.421050	4484961.019964	-1
15393339.704652	4475219.681494	-1
15389901.200468	4466986.884269	-1
15390677.433238	4458467.524059	-1
15391737.303176	4451622.496307	-1
15391046.323729	4446420.147008	-1
15383961.672177	4441819.464838	-1
15369545.260660	4433987.155521	-1
15356118.115281	4428287.263417	-1
15337853.015596	4421216.773410	-1
15328132.907573	4415262.616749	-1
15322315.051242	4409383.710060	-1
15295153.265436	4393578.399728	-1
15279195.385355	4383117.539241	-1
15272442.584310	4378481.860621	-1
15261525.048893	4374971.077732	-1
15253803.251384	4368532.521550	-1
15244989.396435	4360978.014329	-1
14751937.313236	4348863.492563	-1
14746859.731557	4345478.438162	-1
14737212.326392	4339723.845680	-1
14721810.328727	4331768.967837	-1
14709624.132806	4322290.815514	-1
14701838.507647	4318398.002953	-1
14690837.080805	4309258.356070	-1
14673065.545159	4294871.874866	-1
14664941.414585	4287932.513343	-1
14655294.009532	4283701.195342	-1
14632952.650472	4274561.548459	-1
14609257.269659	4266098.912456	-1
14573375.693005	4259159.550934	-1
14558819.959080	4256620.760133	-1
14536817.105472	4255097.485653	-1
14494507.310512	4255960.674525	-1
33	1.2
14620272.236682	4258903.979327	-1
14636449.411670	4263839.388643	-1
14646320.230308	4270557.029102	-1
14656465.238356	4273161.828464	-1
14672368.223951	4280702.037142	-1
14687997.020153	4293726.033951	-1
14702117.774635	4306750.030759	-1
14725012.590212	4325257.815697	-1
14735980.166574	4332935.119078	-1
14746673.553559	4338281.812505	-1
14755173.425293	4343765.600635	-1
15245202.359314	4351166.740664	-1
15252231.291395	4357706.283395	-1
15264456.643450	4368019.463021	-1
15281767.792898	4378401.853317	-1
15302731.166123	4390045.347104	-1
15316136.737705	4397521.921565	-1
15331561.959818	4402389.738254	-1
15344670.383155	4405489.795710	-1
15355145.968128	4410274.802471	-1
15361886.984671	4414623.681337	-1
15379288.559065	4418391.197784	-1
15401591.962672	4421689.177913	-1
15425408.937194	4425156.664394	-1
15452818.011703	4425089.630684	-1
15465015.667884	4427144.197121	-1
15473612.073833	4430674.205604	-1
15475481.042812	4436028.240341	-1
15475658.163130	4456841.777166	-1
15477877.598138	4471351.199165	-1
15479947.592025	4481623.015628	-1
15481736.157960	4485748.284297	-1
15481373.580684	4486458.078389	-1
43	1.8
15393611.804191	4482025.171652	-1
15389327.022007	4477516.365922	-1
15384616.892408	4474819.249037	-1
15382535.376389	4470434.103978	-1
15382872.222915	4463278.185330	-1
15383725.800523	4453618.315243	-1
15381999.617872	4448385.617349	-1
15378118.701153	4445767.667660	-1
15365201.970217	4439370.277022	-1
15350354.662806	4434884.828579	-1
15338099.177296	4428163.949692	-1
15328722.510652	4423443.128665	-1
15317656.777472	4414030.128117	-1
15309171.115854	4408285.379694	-1
15282499.319094	4391399.406190	-1
15268012.799507	4382204.690002	-1
15255886.433886	4375459.179812	-1
15244780.249715	4367544.355130	-1
14755173.425305	4361862.101464	-1
14750649.300020	4355829.934521	-1
14742834.901822	4348701.009952	-1
14733101.177780	4343080.127119	-1
14715827.245033	4334991.539627	-1
14704448.384603	4326628.762730	-1
14690190.535413	4317991.796425	-1
14671682.750435	4308120.977792	-1
14660715.174161	4300032.390301	-1
14653997.533696	4294137.318061	-1
14645360.567385	4287968.056415	-1
14626304.403626	4278645.616594	-1
14608207.902795	4274806.964903	-1
14590385.591372	4270968.313213	-1
14578869.636298	4265210.335676	-1
14563789.218941	4262194.252205	-1
14551313.600945	4261097.494579	-1
14535958.994182	4260823.305172	-1
14529926.827239	4260823.305172	-1
14522386.618560	4262057.157502	-1
14515531.883398	4264113.578050	-1
14505661.064764	4268089.324445	-1
14497983.761382	4273298.923168	-1
14493459.636175	4276726.290749	-1
14493733.825581	4276863.385452	-1
23	2.6
14540894.403499	4299895.295598	-1
14538426.698840	4301129.147927	-1
14534725.141852	4301540.432037	-1
14530612.300755	4301540.432037	-1
14526362.364954	4300032.390301	-1
14522934.997373	4297564.685643	-1
14525676.891438	4292903.465732	-1
14530612.300755	4290298.666371	-1
14539797.645873	4291258.329293	-1
14548571.706880	4289750.287558	-1
14561458.608986	4287419.677602	-1
14572151.995839	4286322.919976	-1
14580240.583331	4287968.056415	-1
14581748.625067	4293314.749842	-1
14578458.352189	4295782.454501	-1
14574756.795201	4297838.875049	-1
14569410.101774	4298798.537972	-1
