GmLine v3.0(Contour)
18	4.5
15512269.962262	4540230.487482	-1
15495308.933565	4543166.050141	-1
15478347.904868	4544144.571027	-1
15473455.300436	4541861.355626	-1
15478674.078496	4532402.320391	-1
15485197.551072	4519681.548868	-1
15507051.184202	4514136.597178	-1
15524664.560156	4508917.819118	-1
15549127.582316	4500763.478398	-1
15584354.334226	4488368.880503	-1
15612079.092676	4476300.456238	-1
15629040.121377	4474017.240836	-1
15650567.580889	4469776.983662	-1
15668507.130494	4475321.935351	-1
15692317.805456	4479562.192524	-1
15714823.785958	4482823.928812	-1
15733741.856601	4483476.276069	-1
15747114.975566	4484128.623327	-1
15	5.0
15541299.415225	4521638.590641	-1
15533471.248134	4515115.118065	-1
15544561.151513	4507613.124602	-1
15558586.617551	4503699.041057	-1
15581092.597938	4495870.873966	-1
15601967.710182	4489021.227761	-1
15620559.607026	4485433.317844	-1
15633932.725811	4481845.407927	-1
15656112.532584	4481519.234298	-1
15673399.734935	4485759.491472	-1
15693296.326347	4491630.616790	-1
15719716.390431	4497175.568478	-1
15734394.203873	4499132.610251	-1
15741243.850167	4500111.131138	-1
15741243.850168	4500763.478395	-1
17	4.0
15452254.014564	4582959.232854	-1
15453232.535451	4568607.593187	-1
15453884.882708	4551972.738118	-1
15461060.702542	4534033.188535	-1
15469215.043261	4521964.764269	-1
15486502.245588	4512505.729034	-1
15507377.357830	4506634.603716	-1
15525969.254672	4503699.041057	-1
15545865.846028	4499784.957511	-1
15575221.472620	4487716.533246	-1
15600989.189295	4476626.629867	-1
15626430.732346	4466189.073745	-1
15656112.532583	4461622.642942	-1
15688729.895525	4459665.601168	-1
15729175.425742	4467167.594629	-1
15745810.281022	4470103.157288	-1
15748093.496459	4469124.636402	-1
18	3.5
15443447.326587	4585894.795513	-1
15445404.368359	4563714.988755	-1
15448339.931019	4540230.487482	-1
15455515.750852	4522617.111527	-1
15471824.432292	4509896.340004	-1
15498244.496224	4502720.520171	-1
15516510.219437	4499784.957511	-1
15538690.026195	4496197.047595	-1
15561848.353839	4488368.880504	-1
15589246.938658	4475974.282609	-1
15613709.960820	4464232.031972	-1
15632301.857666	4457708.559396	-1
15648610.539114	4452163.607707	-1
15665897.741459	4450532.739562	-1
15695905.715383	4450206.565933	-1
15720042.564049	4447923.350531	-1
15745157.933742	4447597.176902	-1
15744179.412841	4446944.829644	-1
18	3.0
15419310.478056	4581980.711967	-1
15418331.957169	4567955.245929	-1
15422246.040715	4544470.744656	-1
15432357.423208	4522617.111527	-1
15457146.618996	4503046.693799	-1
15476390.863095	4494240.005822	-1
15510639.094118	4491630.616792	-1
15539668.547081	4488042.706875	-1
15564457.742869	4480540.713412	-1
15578809.382537	4470429.330920	-1
15601315.362924	4458034.733025	-1
15618928.738881	4447271.003275	-1
15636215.941213	4439442.836184	-1
15649262.886372	4432919.363608	-1
15676335.297597	4428679.106433	-1
15701124.493462	4427700.585546	-1
15725587.515778	4426069.717401	-1
15737329.766537	4428026.759174	-1
20	1.5
15365491.829295	4633516.145316	-1
15354401.925910	4610357.817672	-1
15337114.723566	4570564.634959	-1
15334179.160904	4524900.326927	-1
15340376.459860	4497175.568480	-1
15339724.112603	4465210.552858	-1
15335810.029053	4438138.141668	-1
15338419.418087	4417589.203054	-1
15365165.655669	4383993.319289	-1
15385714.594288	4369967.853251	-1
15415396.394510	4359204.123501	-1
15451275.493678	4353006.824554	-1
15487480.766474	4353659.171812	-1
15518793.434838	4363118.207047	-1
15541299.415225	4371272.547766	-1
15592182.501317	4380405.409372	-1
15626104.558716	4383340.972031	-1
15660352.789760	4388233.576463	-1
15693622.499967	4392800.007265	-1
15699167.451677	4394757.049038	-1
10	1
15519771.955725	4359530.297130	-1
15465627.133345	4338002.837629	-1
15437902.374897	4332131.712311	-1
15408220.574676	4328543.802394	-1
15362230.093009	4333762.580455	-1
15338419.418089	4345504.831091	-1
15311347.006849	4355942.387212	-1
15290145.720892	4363118.207044	-1
15265030.351281	4365401.422445	-1
15257202.184098	4366706.116961	-1
9	0.5
15509008.225974	4345831.004720	-1
15482261.988413	4337024.316743	-1
15458777.487140	4327891.455137	-1
15407894.401048	4310604.252811	-1
15369405.912845	4312561.294583	-1
15334831.508169	4326586.760621	-1
15309389.965072	4343873.962946	-1
15273184.692081	4356920.908097	-1
15251331.058702	4361161.165271	-1
20	2.0
15392564.240493	4598615.567036	-1
15377234.079937	4579697.496566	-1
15363860.961151	4551646.564489	-1
15355706.620427	4520007.722496	-1
15347878.453331	4476626.629866	-1
15349183.147848	4442704.572472	-1
15359620.703976	4409761.035964	-1
15374298.517278	4391495.312751	-1
15387671.636061	4381710.103888	-1
15410177.616449	4371924.895024	-1
15437902.374897	4369315.505994	-1
15463670.091572	4372903.415910	-1
15496613.628080	4374208.110426	-1
15534775.942649	4383340.972032	-1
15563805.395612	4384645.666547	-1
15600989.189295	4389212.097350	-1
15632954.204923	4390516.791865	-1
15661983.657906	4396061.743554	-1
15685794.332852	4399649.653470	-1
15720042.564039	4408130.167818	-1
33	2.5
