GmLine v3.0(Contour)
8	500
15735266.947441	4128658.696468	-1
15740226.751058	4133985.892896	-1
15745921.340403	4136373.946468	-1
15752718.108340	4136006.553610	-1
15758045.304841	4133251.107182	-1
15759108.705485	4132168.844143	-1
15761535.537034	4129209.785753	-1
15764107.287075	4127189.125039	-1
8	
15724810.889174	4514467.609117	-1
15725460.206890	4510571.702851	-1
15727083.501182	4508786.079145	-1
15729193.783765	4507974.432006	-1
15731304.066348	4507649.773151	-1
15733576.678364	4508948.408573	-1
15735037.643232	4510409.373423	-1
15734875.313804	4515603.915111	-1
36	500
15439735.640186	4444505.097291	-1
15435876.681857	4441335.238664	-1
15433533.742872	4440232.679141	-1
15431190.803886	4438854.479738	-1
15427745.305378	4436373.720812	-1
15425815.826214	4434995.521409	-1
15424851.086632	4432652.582424	-1
15424851.086632	4430998.743140	-1
15424851.086632	4429344.903856	-1
15424575.446751	4427553.244632	-1
15424024.166990	4425485.945527	-1
15422508.147646	4423143.006542	-1
15421405.588124	4421213.527377	-1
15420716.488422	4419146.228273	-1
15420027.388720	4415976.369645	-1
15419751.748840	4412944.330958	-1
15420303.028601	4409223.192570	-1
15421129.948243	4405777.694062	-1
15422783.787527	4405364.234241	-1
15425402.366393	4407293.713405	-1
15426642.745856	4410325.752092	-1
15427883.125319	4412668.691078	-1
15430363.884244	4415838.549705	-1
15433395.922931	4419421.868153	-1
15435876.681857	4422178.266960	-1
15439597.820246	4425623.765468	-1
15442216.399112	4429344.903856	-1
15445110.617859	4433066.042245	-1
15448418.296426	4435684.621111	-1
15450485.595531	4439681.399380	-1
15450623.415471	4443815.997590	-1
15448142.656546	4445883.296694	-1
15444834.977978	4446434.576456	-1
15442354.219052	4445607.656814	-1
15440286.919947	4444642.917231	-1
15437943.980962	4444091.637470	-1
19	500
15459443.891652	4462421.689532	-1
15456687.492845	4459389.650845	-1
15455033.653561	4457597.991621	-1
15450347.775591	4457046.711860	-1
15449245.216068	4459527.470786	-1
15448556.116366	4462421.689532	-1
15448280.476486	4465178.088339	-1
15448280.476486	4468210.127026	-1
15449383.036008	4470828.705892	-1
15451725.974994	4474549.844280	-1
15454068.913979	4477168.423147	-1
15457100.952666	4478960.082371	-1
15460270.811294	4477581.882967	-1
15461786.830637	4475928.043684	-1
15460959.910995	4471517.805593	-1
15460684.271114	4468899.226727	-1
15460132.991353	4464764.628518	-1
15459030.431831	4461870.409771	-1
15459030.431831	4461319.130010	-1
149	400
15444145.878276	4590318.594148	-1
15440838.199709	4588664.754864	-1
15439046.540485	4587837.835222	-1
15437254.881260	4586459.635819	-1
15438081.800902	4583014.137311	-1
15439322.180365	4580809.018266	-1
15440700.379768	4578879.539101	-1
15441802.939291	4576674.420056	-1
15442078.579172	4573918.021250	-1
15440562.559828	4570196.882861	-1
15439597.820246	4567302.664114	-1
15437806.161022	4565097.545069	-1
15436427.961618	4563030.245965	-1
15434911.942275	4560825.126919	-1
15433671.562812	4558344.367994	-1
15432017.723528	4556690.528710	-1
15429399.144662	4554898.869486	-1
15427331.845557	4552969.390321	-1
15422232.507766	4547870.052530	-1
15421405.588124	4545113.653723	-1
15420716.488422	4542770.714738	-1
15420440.848541	4538636.116528	-1
15423059.427407	4536155.357602	-1
15427469.665498	4532847.679035	-1
15430363.884244	4529677.820408	-1
15434774.122335	4525543.222198	-1
